address,Population (2020),Primary Language,Secondary_Language,Mode_transfortation 
Alcantara,17K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Alcoy,19K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Alegria,26K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Aloguinsan,34K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Argao,78K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Asturias,55K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Badian,44K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Balamban,95K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Bantayan,86K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Barili,81K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Bogo,89K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Boljoon,18K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Borbon,38K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Carcar,136K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Carmen,58K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Catmon,34K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Compostela,56K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Consolacion,148K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Cordova,71K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Daanbantayan,94K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Dalaguete,75K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Danao,156K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Dumanjug,58K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Ginatilan,17K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Liloan,153K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Madridejos,42K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Malabuyoc,20K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Medellin,60K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Minglanilla,151K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Moalboal,37K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Naga,133K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Oslob,29K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Pilar,13K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Pinamungajan,75K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Poro,26K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Ronda,21K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Samboan,20K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
San Fernando,72K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
San Francisco,59K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
San Remigio,66K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Santa Fe,34K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Santander,19K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Sibonga,53K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Sogod,39K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Tabogon,41K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Tabuelan,29K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Talisay,263K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Toledo,207K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Tuburan,68K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
Tudela,11K,Bisaya,English,"Bus,Trikes,Jeepney,UV,Taxi,BoatRental"
