touristname,classification,entrance fee,address,numberOfReviews,rating
University of San Carlos Museum,Museums, Free ,"Pelaez Street University of San Carlos, Cebu City 6000 Philippines",236,4.5
Cebu Heritage Monument,Sights & Landmarks, Free ,"Colon Street, Parian Plaza, Cebu City 6000 Philippines",332,4.0
1730 Jesuit House,Sights & Landmarks, ₱50.00 ,"Zulueta Street Parian, Cebu City 6000 Philippines",179,4.5
Sumilon Island,Nature & Parks, ₱50.00 ,Philippines,297,4.0
Temple of Leah,Sights & Landmarks, ₱50.00 ,"Roosevelt Street Busay, Cebu City 6000 Philippines",610,3.5
Sirao Flower Garden,Nature & Parks, ₱50.00 ,"Busay, Cebu City 6000 Philippines",276,4.0
Osmena Peak,Nature & Parks, ₱30.00 ,"Mantalongon, Dalaguete 6022 Philippines",201,4.5
Lapu Lapu Statue,Sights & Landmarks, Free ,"Barangay Mactan, Lapu Lapu Philippines",980,4.0
Yap Sandiego Ancestral House,Sights & Landmarks, ₱50.00 ,"155 Mabini St. Parian, Cebu City 6000 Philippines",575,4.0
Cebu Ocean Park,Zoos & Aquariums, ₱590.00 ,"South Road Properties SM Seaside Complex, Cebu City 6000 Philippines",85,4.5
Museo Sugbo,Museums, ₱75.00 ,"M. J. Cuenco Avenue, Cebu City 6000 Philippines",224,4.0
Simala Shrine,Sights & Landmarks, Free ,"Lindogon Simala, 6020 Philippines",304,4.5
Pescador Island,Nature & Parks, ₱25.00 ,"Tanon Strait, Moalboal Philippines",565,4.5
Aguinid Falls,Nature & Parks, ₱300.00 ,"Barangay Tangbo, Samboan 6027 Philippines",276,4.5
Tops Lookout,Sights & Landmarks, ₱100.00 ,"Tops Road, Cebu City 6000 Philippines",1004,4.0
Paradise Beach,Nature & Parks, ₱250.00 ,Philippines,238,4.5
Fort San Pedro,Sights & Landmarks, ₱30.00 ,"A.Pigafetta, Cebu City 6000 Philippines",1326,4.0
Tumalog Falls,Nature & Parks, ₱50.00 ,"Tumalog, Oslob 6025 Philippines",1110,4.5
SM Seaside City Cebu,Shopping, Free ,"Corner South Coastal Road and Mambaling Extension, Cebu City 6000 Philippines",301,4.0
Cebu Safari & Adventure Park,Nature & Parks, ₱900.00 ,"Toril Barangay Corte, Carmen 6005 Philippines",74,4.5
Casa Gorordo Museum,Museums, ₱40.00 ,"35 Eduardo Aboitiz St, Cebu City 6000 Philippines",548,4.5
Jumalon Butterfly Sanctuary,Nature & Parks, ₱100.00 ,"J.N. Jumalon Street, Cebu City 6000 Philippines",105,4.0
Kawasan Falls,Nature & Parks, ₱45.00 ,"Matutinao, Badian 6031 Philippines",1936,4.0
Taoist Temple,Sights & Landmarks, Free ,"Beverly Hills, Cebu City 6000 Philippines",1492,4.0
Virgin Island,Nature & Parks, ₱250.00 ,Philippines,299,4.0
Cebu Metropolitan Cathedral,Sights & Landmarks, Free ,Cebu City Philippines,171,4.5
Ayala Center Cebu,Shopping, Free ,"Cebu Business Park , Archbishop Reyes Avenue, Cebu City 6000 Philippines",1824,4.5
Colon Street,Sights & Landmarks, Free ,Cebu City Philippines,619,3.5
Basilica del Santo Nino,Sights & Landmarks, ₱30.00 ,"Osmena Boulevard, Cebu City 6000 Philippines",2168,4.5
